subject_class,property,subject_count,class_instance_count,object_count,min,max,avg,property_types,object_types
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/euvoc#endDate,483,1509,207,0,1,0.32008,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://purl.org/dc/terms/created,1509,1509,176,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2004/02/skos/core#notation,609,1509,1506,0,16,1.003976,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://purl.org/dc/elements/1.1/identifier,1509,1509,1509,1,1,1,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/protocol-order,17,1509,17,0,1,0.011266,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2004/02/skos/core#inScheme,1509,1509,1,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/MappedCode,17,1509,17,0,1,0.011266,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2004/02/skos/core#broader,1248,1509,58,0,2,0.8277,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2004/02/skos/core#exactMatch,295,1509,294,0,1,0.195494,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://purl.org/dc/terms/dateAccepted,1500,1509,54,0,1,0.994036,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2008/05/skos-xl#prefLabel,1509,1509,34811,1,27,23.06892,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/euvoc#status,1509,1509,3,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/deprecated,1508,1509,2,0,1,0.999337,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://purl.org/dc/terms/replaces,299,1509,304,0,4,0.218688,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/op-mapped-code,883,1509,1985,0,16,1.315441,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2008/05/skos-xl#altLabel,957,1509,24517,0,257,16.24718,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/euvoc#xlClassification,1509,1509,32,1,1,1,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://lemon-model.net/lemon#context,1508,1509,13,0,11,3.064944,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2006/vcard/ns#hasTelephone,48,1509,83,0,3,0.055003,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/euvoc#startDate,1508,1509,597,0,1,0.999337,http://www.w3.org/2002/07/owl#DatatypeProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1509,1509,2,2,2,2,http://www.w3.org/2002/07/owl#ObjectProperty,
http://publications.europa.eu/ontology/euvoc#Corporate,http://purl.org/dc/terms/dateSubmitted,1491,1509,55,0,1,0.988072,http://www.w3.org/2002/07/owl#DatatypeProperty,
