Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/resource/authority/op-code,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/deprecated,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/authority/op-code,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#notation,0.304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#broader,0.956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2004/02/skos/core#definition,0.717391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://www.w3.org/2008/05/skos-xl#prefLabel,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://purl.org/dc/terms/created,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#CorporateBodyClassification,http://publications.europa.eu/ontology/euvoc#xlDefinition,0.717391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/modified,0.071429,0.0,0.0,0.0,0.0,0.0,0.000479,0.0
http://publications.europa.eu/ontology/euvoc#XlNotation,http://purl.org/dc/terms/type,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
